Index,MSA,talent_score,connect_score,cost_score,quality_score,finalscore
300,"Odessa, TX",18.74273088,34.80990216,82.68498489,34.80990216,40.38820042
301,"Victoria, TX",28.51741555,46.49850532,90.85112301,58.9386355,67.57012325
302,"Corpus Christi, TX",43.8916154,52.7917686,54.34327892,43.77678466,51.51895681
303,"Austin Round Rock, TX",74.57423532,68.52637184,24.03728201,67.73186216,68.93528071
304,"El Paso, TX",45.59729664,58.9386355,49.87183472,34.19499478,49.85416991
305,"Laredo, TX",29.5841074,49.31403419,61.03448576,34.03826292,40.9981225
306,"Dallas Fort Worth Arlington, TX",80.65402939,78.10730921,32.64947641,69.98147726,85.21262999
307,"Houston The Woodlands Sugar Land, TX",75.07419674,76.16475999,27.55084377,67.47799316,75.94652319
308,"Sherman Denison, TX",34.19499478,13.69167984,51.22395423,42.61774891,20.07418773
309,"Longview, TX",33.23479989,21.54348305,65.07389577,24.67032081,27.22719489
310,"McAllen Edinburg Mission, TX",26.08996603,57.37409106,51.76167257,18.18094924,31.43800948
311,"Lubbock, TX",51.9624647,51.84508709,46.44790772,35.84439401,48.38697369
312,"St. George, UT",42.61774891,39.34337537,63.64739148,61.95114822,55.56107907
313,"Provo Orem, UT",56.0322322,50.45409383,57.4532263,46.49850532,61.54717266
314,"Ogden Clearfield, UT",49.31403419,47.0604954,62.35849499,51.84508709,60.20151335
315,"Salt Lake City, UT",56.96438662,60.62475713,59.57121533,59.53580708,73.88763081
316,"Richmond, VA",66.74545777,65.39189113,36.9082529,63.38777207,69.11178131
317,"Blacksburg Christiansburg Radford, VA",55.00233386,16.93627926,67.16720058,24.96839111,41.02174628
318,"Charlottesville, VA",58.79189979,49.42745752,49.8853905,45.82295583,57.44278868
319,"Harrisonburg, VA",44.57727756,34.65791318,56.26995421,40.83097707,41.96348388
320,"Roanoke, VA",41.19398446,51.14583635,56.74795156,45.48435225,50.96446433
321,"Arlington Alexandria, VA",63.96140892,72.02280673,36.17448358,64.76160184,70.95478531
322,"Kingsport Bristol Bristol, TN VA",27.36067572,40.95233325,71.20906701,16.93627926,35.82244735
323,"Virginia Beach Norfolk Newport News, VA",63.76782654,68.80324953,39.49828699,76.16475999,75.15994995
324,"Lynchburg, VA",37.5164637,18.74273088,61.40925508,26.35469554,26.62895703
325,"Winchester, VA",38.70377043,35.69957464,54.14076742,56.0322322,42.28216909
326,"Burlington South Burlington, VT",58.64613459,50.3394318,29.61352066,50.9144937,45.74003596
327,"Seattle Tacoma Bellevue, WA",76.76472767,72.40503479,24.340711,78.8695222,76.6598667
328,"Olympia Tumwater, WA",51.61107708,42.50062215,53.52062827,54.25088352,53.95219412
329,"Bellingham, WA",49.54099423,27.36067572,52.40500404,46.72336234,40.57102218
330,"Mount Vernon Anacortes, WA",40.58715789,16.23840003,53.69833529,46.94813064,29.07015798
331,"Yakima, WA",28.73733069,26.86771607,59.6066532,48.86135698,31.71879669
332,"Lewiston, ID WA",41.31429728,29.5841074,59.4494115,48.18475321,41.52934227
333,"Bremerton Silverdale, WA",49.65465029,40.3418001,37.16779113,51.26181677,39.17811327
334,"Longview, WA",19.77147391,33.56029887,57.09605287,35.25934198,23.03310297
335,"Kennewick Richland, WA",47.50995443,37.91784051,57.52962757,42.85127909,47.37933032
336,"Spokane Spokane Valley, WA",49.42745752,53.27237651,57.92520849,60.4654484,63.73512578
337,"Milwaukee Waukesha West Allis, WI",66.98503352,67.99101369,34.2627978,72.40503479,72.03111994
338,"Sheboygan, WI",38.05033693,38.96118072,44.11905221,55.12922576,36.53152851
339,"Wausau, WI",37.91784051,48.86135698,50.70162482,65.60837854,50.16827911
340,"Oshkosh Neenah, WI",47.0604954,47.50995443,53.55542587,45.93568204,50.87538586
341,"Green Bay, WI",42.38324454,44.23512074,51.17888677,39.0890893,41.84377604
342,"Fond du Lac, WI",33.06987055,43.8916154,50.47000409,46.38602964,37.28900018
343,"Minneapolis St. Paul Bloomington, MN WI",73.21586592,71.65425251,28.68833355,70.62001971,73.95735401
344,"Appleton, WI",46.6109477,56.42786872,51.94785231,58.64613459,58.89728183
345,"Madison, WI",72.80222618,63.38777207,29.00437556,71.29824497,69.41134716
346,"Eau Claire, WI",45.03167505,32.22158841,52.22932706,49.08750406,40.94568457
347,"Racine, WI",40.95233325,17.58098156,54.03784412,35.40707373,26.37080217
348,"Duluth, MN WI",43.54659125,53.51473217,52.26679596,38.05033693,48.31677666
349,"Chicago Naperville Elgin, IL IN WI",81.72971007,81.72971007,21.32697156,74.57423532,81.83980654
350,"Cumberland, MD WV",27.11657501,35.98829145,77.24597787,25.25895059,39.8009747
351,"Morgantown, WV",56.56100268,45.25820518,66.06854698,31.69184859,59.77646696
352,"Hagerstown Martinsburg, MD WV",30.95793717,27.60025147,72.77287144,45.14499091,41.38846337
353,"Charleston, WV",34.35049146,49.76843167,78.37434271,43.66177878,59.66620354
354,"Parkersburg Vienna, WV",32.90342932,34.19499478,73.5908192,41.67328806,45.84965967
355,"Casper, WY",41.43427983,7.8531973,44.04291936,32.90342932,13.46480287
356,"Cheyenne, WY",46.04834689,43.19987288,70.7846049,46.27351507,59.62529752
