MSA,State,Lat,Long,NumAirline,GDP,Tech_Hub,AvgStateTax,AvgPropTaxPerCap,LandArea,PopDensity,Age2534,MedianIncome,PercentBach,PovertyRate,HealthCareIndex,CrimeIndex,PurchasingPower,CPIIndex,PollutionIndex,TrafficIndex,QualityofLifeIndex,RentIndex,PropPricetoIncomeRatio,CO2Index,NumTechConf,TotEnrollment,AvgSchoolRep,AvgTuition,Electricity,NatGas,CorpTaxMin,CorpTaxMax,CostLivingComposit,WCIndex,TaxableWageBase,SingEmpCost,FamilyEmpCost,GDP5Year,Poplutation,MaleFemaleRatio,Under5,Bet5and9,Bet10and14,Bet15and19,Bet20and24,Bet25and34,Bet35and44,Bet45and54,Bet55and59,Bet60and64,Bet65and74,Bet75and84,AtorOver85,MedianAge,Labor,LaborForceAnnGrowth,GDPperCap,CBRE_TechScore,CBRE_Tech_Talent,CBRE_change_12_17,CBRE_Volume_12_17,CBRE_Concentration_17,CBRE_17_Tech_Degrees,CBRE_Growth_12_17,CBRE_Brain,CBRE_AvgRent_75K,CBRE_AskingRentPerSF,CBRE_Vacancy_Rate,CBRE_Avg_monthly_Apartment_Rent,CBRE_Costofliving,CBRE_AvgAnn_TechWage,CBRE_Rent_to_Tech_WageRatio,CBRE_MILLENNIAL_Pop,CBRE_WageRelativetoUSAvg,CBRE_TalentWage_5Yr_Growth,CBRE_Office_Vacancy_Rate_13,CBRE_Apartment_Rent,RevPerCap0,RevPerCap11,RevPerCap21,RevPerCap22,RevPerCap23,RevPerCap31_33,RevPerCap42,RevPerCap44_45,RevPerCap48_49,RevPerCap51,RevPerCap52,RevPerCap53,RevPerCap54,RevPerCap56,RevPerCap61,RevPerCap62,RevPerCap71,RevPerCap72,RevPerCap81,RevPerCap55,RevPerCap99,PerofRev0,PerofRev11,PerofRev21,PerofRev22,PerofRev23,PerofRev31_33,PerofRev42,PerofRev44_45,PerofRev48_49,PerofRev51,PerofRev52,PerofRev53,PerofRev54,PerofRev56,PerofRev61,PerofRev62,PerofRev71,PerofRev72,PerofRev81,PerofRev55,PerofRev99,Patents,VCInvPer,VCFirms,Amazon,TopGrad,numairport,asai,densityscore,landusescore,activityscore,streetscore
"Anchorage, AK",AK,61.2180556,-149.9002778,59,24682,0,0,2001,32575,12.3066155,0.201,75070,0.253,0.1,,,,,,,,,,,0,0,0,0,19.52,9.91,0,0.094,,2.74,39500,6291,17647,0.977084331,399360,105.6,29425,27553,28066,25813,31639,65739,51546,52079,27534,21600,25675,9391,3300,33.5,199876,0.0167,0.061803886,,,,,,,,,,,,,,,,,,,,,104.1715545,0.401517428,4.063486579,1.588421474,11.28235927,1.431575521,26.11193409,15.19557041,8.509555288,3.626031651,3.01790615,2.348522636,6.936435797,3.611478365,0.62743139,9.37735627,0.714320413,3.235436699,0.992803486,1.099411558,,1,0.003854386,0.039007641,0.015248131,0.108305567,0.01374248,0.250662805,0.145870631,0.081687898,0.034808271,0.02897054,0.022544759,0.066586659,0.034668566,0.006023059,0.090018396,0.006857154,0.031058735,0.009530466,0.010553856,,26,0,0,1,0,1,25.03,,,,
"Ann Arbor, MI",MI,42.2808256,-83.7430378,0,20545,0,0.06,1382,657,559.5540335,0.211,65020,0.501,0.13,75,21.64,124.5,70.28,18.03,114.9,202.2,46.98,4.12,5474.17,1,28983,4.4,22988.5,11.39,6.97,0.06,0.06,,1.57,9500,4167,13674,1.034919462,361509,98,18390,18995,19938,32385,47813,50876,41610,44470,21251,20679,27439,12149,5514,33.4,197039,0.0097,0.056831227,,,,,,,,,,,,,,,,,,,,,88.90694284,0.056961237,0.019407539,2.470771129,3.401096515,12.81768642,15.03235327,17.55526142,4.934269963,4.84116578,4.026945387,2.897947216,6.845716151,2.550185473,0.420808334,6.6112047,0.436871558,2.288205826,0.546517514,1.153567408,,1,0.000640684,0.00021829,0.027790531,0.038254566,0.14416969,0.169079633,0.197456586,0.055499265,0.054452055,0.045293936,0.032595286,0.076998668,0.028683761,0.004733132,0.07436095,0.004913807,0.025737088,0.006147074,0.012974998,,785,0,1,0,1,,,103.27,105.04,123.11,89.95
"Appleton, WI",WI,44.2619309,-88.4153847,9,11412,0,0.05,1616,960,245.9645833,0.197,59993,0.236,0.083,62.5,39.65,127.96,79.72,8.62,117.62,195.75,21.8,1.49,6317.5,0,0,0,0,11.05,,0.079,0.079,,2.06,14000,4510,13660,1.040776143,233025,99.5,14588,15922,16066,15537,14470,29442,30235,34673,16922,13683,18008,9389,4090,38.4,132595,-0.0029,0.048973286,,,,,,,,,,,,,,,,,,,,,126.5800322,0.013449201,0,0,8.616908057,36.63042163,32.54056861,15.9912842,3.046840468,2.058427207,10.50342667,1.156661302,2.413187426,2.005634589,0.39718056,6.925226907,0.253256088,1.618122519,1.653311876,0.756124879,,1,0.000106251,0,0,0.068074782,0.289385466,0.257075054,0.126333387,0.024070467,0.016261864,0.082978543,0.009137786,0.019064519,0.015844794,0.003137782,0.054710263,0.002000759,0.012783395,0.013061396,0.005973493,,108,0,0,0,0,,,90.65,99.81,156.72,79.92
"Asheville, NC",NC,35.5950581,-82.5514869,12,17329,0,0.0475,952,1945,234.5218509,0.171,47480,0.23,0.165,80.15,34.93,98.9,70.9,16.98,192.87,188.07,37.22,4.42,8536.18,0,0,0,0,9.15,9.06,0.03,0.03,97,1.91,23500,4154,12154,1.065421046,445625,93.1,22194,23076,24838,24306,24710,54383,55565,59393,32096,32290,53434,28023,11317,44,231512,0.0087,0.038886957,,,,,,,,,,,,,,,,,,,,,74.52814362,0.033202805,0,1.183961851,4.13874446,14.4712662,17.4582979,16.99844264,1.008302945,1.057411501,2.005035624,1.353541655,1.904753997,1.359430014,0.491040673,6.822307994,0.687465919,2.640246844,0.666901543,0.24778906,,1,0.000445507,0,0.015886104,0.055532639,0.194171832,0.234251077,0.228080854,0.013529157,0.014188083,0.026903067,0.018161484,0.025557513,0.018240492,0.006588661,0.091540023,0.009224246,0.035426172,0.008948318,0.003324772,,57,0,0,0,0,,,80.71,64.12,97.61,88.53
"Athens Clarke County, GA",GA,33.95,-83.383333,1,8482,0,0.04,1125,976,214.4170082,0.23,45144,0.377,0.257,67.46,16.91,,,8.62,519.64,,26.76,4.84,22610,0,27951,2.3,16461.5,9.75,8.76,0.06,0.06,,1.8,9500,4155,12746,1.066265889,202780,93.8,11210,11519,11597,19522,27168,28637,24482,22602,10934,10617,14995,6711,2786,31.8,105698,0.0154,0.041828583,,,,,,,,,,,,,,,,,,,,,51.97573232,0.209872769,0,0.81445902,2.033795246,10.53746425,12.69541375,9.719060065,0.701331492,0.792356248,0,2.287262057,1.778040241,1.331171713,0.316737351,6.372610711,0.165050794,1.339703127,0.881403491,0,,1,0.004037899,0,0.015669986,0.039129708,0.202738158,0.244256563,0.186992268,0.013493441,0.015244735,0,0.044006346,0.034209046,0.025611409,0.006093947,0.122607425,0.003175536,0.025775551,0.016957981,,,49,0,0,0,1,,,,,,
"Atlanta Sandy Springs Roswell, GA",GA,33.7489954,-84.3879824,917,334488,0,0.04,1125,7867,748.0279649,0.191,65097,0.307,0.152,64.16,64,143.03,73.07,44.7,222.95,168.14,46.13,2.87,10275,2,15489,4.6,17567,9.75,8.76,0.06,0.06,99,1.8,9500,4155,12746,1.057560329,5700990,93.8,371754,402472,413902,398881,377215,798027,822128,827360,355692,298051,403703,171910,59895,36.1,3090344,0.0022,0.058671915,57.76,134770,0.347,34730,0.051,25573,0.347,9157,1968750,26.25,0.174,1163,102,92932,0.15,-0.028,0.98,0.13,0.22,1163,116.4099604,0.022448382,0.057060791,1.729884108,4.97844427,10.75076013,35.47333112,12.50135415,4.588520766,8.801274165,12.79495018,2.526207378,6.991835804,3.330542239,0.964758752,5.126267543,0.554908884,2.184216776,1.020431714,2.012763222,0,1,0.000192839,0.000490171,0.014860276,0.04276648,0.09235258,0.304727628,0.10739076,0.039416909,0.075605851,0.109912847,0.021700956,0.060062178,0.028610458,0.008287596,0.044036331,0.004766851,0.018763143,0.008765845,0.017290301,0,2143,0.011,2,1,1,2,745.65,97.8,85.47,89.89,75.92
"Atlantic City Hammonton, NJ",NJ,39.3642834,-74.4229266,10,11233,0,0.0663,3074,615,438.8910569,0.185,59454,0.187,0.136,,,,,,,,,,,0,0,0,0,13.38,9.05,0.09,0.09,,2.92,33700,4946,12457,1.007429163,272926,93.9,15767,15972,17242,17818,18833,32438,31777,39779,20687,18073,25642,13287,5611,41.1,122584,-0.0126,0.041157676,,,,,,,,,,,,,,,,,,,,,62.8234613,0,0,0,4.200171475,1.396840169,5.680330932,15.95602837,1.279104959,1.266046474,2.623172582,2.031880436,2.991697383,1.368411218,0.279504335,6.931175483,0.380802855,15.53049178,0.907802848,0,,1,0,0,0,0.066856735,0.022234371,0.090417351,0.253982,0.020360307,0.020152447,0.041754665,0.032342701,0.047620703,0.02178185,0.004449044,0.110327819,0.006061475,0.247208471,0.014450061,,,12,0,0,1,0,,,96.33,100.1,154.52,130.71
"Auburn Opelika, AL",AL,32.6098566,-85.4807825,0,4715,0,0.04,540,582,277.6701031,0.234,46268,0.321,0.213,77.78,19.41,,,,3.41,,25.32,,,0,22658,3,15636,9.89,12.2,0.065,0.065,,1.85,8000,3825,11412,1.055961077,156597,97.2,9283,9190,9602,13532,22538,22454,18921,18343,8221,7677,10527,4896,1413,31,75810,0.0119,0.030109134,,,,,,,,,,,,,,,,,,,,,38.8205138,0.100295663,0,0.462965446,0,15.3086713,2.938696144,9.227156331,1.947342542,0.75416515,1.057070059,0.926512002,0.993294891,1.032995524,0.087102563,1.611378251,0.215438355,1.668831459,0.488598121,0,,1,0.002583574,0,0.011925794,0,0.394344891,0.075699568,0.237687641,0.050162719,0.019426975,0.027229677,0.023866557,0.025586856,0.026609527,0.002243725,0.041508422,0.005549601,0.042988392,0.012586081,,,25,0,0,0,1,,,,,,
"Augusta Richmond County, GA SC",SC,33.4734978,-82.0105148,1,20911,0,0.06,1130,3158,190.041482,0.205,50696,0.216,0.196,,,,,,,,,,,0,0,0,0,9.83,9.35,0.05,0.05,91.7,1.94,14000,4289,12666,1.030457273,589519,94.6,37445,39600,38224,39614,40592,82484,71733,76650,39401,37849,51989,24888,9050,37.2,269224,0.0049,0.035471291,,,,,,,,,,,,,,,,,,,,,63.90620489,0.196721395,0,0,2.947964357,23.27162992,4.240087258,12.157218,1.472230751,1.450619912,2.00175058,1.381616199,5.004878554,2.236114527,0.244358536,4.696277813,0.455664703,1.298232966,0.759620979,0.091218434,,1,0.003078283,0,0,0.046129548,0.364152901,0.0663486,0.19023533,0.023037368,0.022699203,0.031323259,0.021619437,0.078316003,0.03499057,0.003823706,0.07348704,0.007130211,0.020314662,0.011886498,0.00142738,,54,0,0,0,0,1,25.65,85.25,60.69,88.47,73.85
"Austin Round Rock, TX",TX,30.267153,-97.7430608,83,135072,0,0.0625,1731,4157,508.979312,0.2,66788,0.363,0.157,70.58,34.32,140.47,73.02,37.08,177.48,189.71,50.2,4.09,8465.34,7,40168,4.1,16543.5,8.55,,,,97.5,1.45,9000,4251,11869,1.075261351,2000590,100.3,132927,135886,134025,132060,143822,347363,308797,257760,111879,98482,124418,52479,20692,34.2,1198220,0.0039,0.067516083,60.17,69610,0.203,11740,0.07,10496,0.203,1244,2624250,34.99,0.097,1207,113,94954,0.153,0.034,1,0.12,0.136,1207,115.7699729,0.009232776,0,0.553843116,5.784953439,7.720177548,48.31445024,14.88437961,1.311527599,4.088249966,8.512664764,2.184936944,7.800569832,2.706166181,0.608004139,5.524282337,0.593977777,2.874879411,1.084647029,1.20925577,0.003774387,1,7.98E-05,0,0.004783996,0.049969377,0.066685492,0.417331447,0.128568568,0.011328737,0.035313561,0.073530852,0.018873089,0.067379906,0.023375372,0.005251829,0.047717748,0.005130672,0.024832686,0.009368984,0.010445332,3.26E-05,2700,0.0143,2,1,1,1,120.81,100.42,99.66,138.78,102.88
"Bakersfield, CA",CA,35.3732921,-119.0187125,6,33594,0,0.0725,1451,7793,114.6052868,0.217,55220,0.141,0.214,60.07,56.6,140.78,67.94,71.25,102.75,161.13,29.87,2.38,4640.22,0,0,0,0,16.14,8.77,0.0884,0.0884,,3.24,7000,4490,12629,1.003285136,878744,105.1,71850,74162,70264,66343,69839,133605,110020,103750,48080,41604,53629,25904,9694,31.3,390888,0.0037,0.038229564,,,,,,,,,,,,,,,,,,,,,54.10762634,0.940359194,2.276513979,0.999756471,3.470908478,7.300086259,10.8096078,9.397749515,2.034601659,0.930361971,2.820797638,1.021193886,2.172152527,2.842997506,0.168205985,4.133168477,0.161160702,1.686022323,0.646550076,0.295431889,,1,0.017379421,0.04207381,0.018477182,0.06414823,0.13491788,0.199779745,0.173686228,0.037602863,0.017194655,0.052133088,0.018873382,0.040145035,0.052543379,0.00310873,0.07638791,0.002978521,0.03116053,0.011949334,0.005460079,,85,0,0,0,0,1,20.19,101.29,114.13,76.82,73.14
"Baltimore Columbia Towson, MD",MD,39.2903848,-76.6121893,142,165903,1,0.06,1555,2849,985.6704107,0.19,73798,0.303,0.117,80.41,70.4,126.78,75.04,45.07,144.14,166.85,41.19,2.46,4928.52,0,23621,2.1,25835.16667,12,,0.0825,0.0825,,1.5,8500,4422,13041,1.033784536,2792050,93.1,168567,172258,171589,176553,185245,402488,348285,398043,196412,170807,233498,115896,52409,38.3,1510872,0.0086,0.059419781,56.43,72600,0.179,11040,0.053,16349,0.179,-5309,1696500,22.62,0.143,1271,106,102998,0.148,-0.035,1.09,0.11,0.165,1271,94.36495872,0.025912143,0.03624756,0,6.551389839,8.071565695,19.246641,13.02724486,2.477872889,3.208852635,10.64966029,3.042343081,10.09027847,2.494714994,1.991160617,8.645494171,0.683396071,2.202166867,1.225305063,0.6934643,0.001248187,1,0.000274595,0.000384121,0,0.069426087,0.085535625,0.203959619,0.13805172,0.026258401,0.034004706,0.11285609,0.032240178,0.106928235,0.026436879,0.021100636,0.091617633,0.007242053,0.023336701,0.012984746,0.007348748,1.32E-05,846,0,2,1,1,,,115.97,123.21,123.12,136.35
"Bangor, ME",ME,44.8011821,-68.7778138,8,5252,0,0.055,2055,3475,43.72863309,0.198,43931,0.211,0.16,47.22,41.18,,,27.59,97.13,,23.2,,4655,0,0,0,0,12.94,11.32,0.035,0.0893,,2.02,12000,4746,13288,1.023895107,152284,98.1,7184,7888,8086,10659,11520,19999,17107,21666,11819,10692,14604,7872,3188,41.8,71498,0.015,0.034488193,,,,,,,,,,,,,,,,,,,,,67.01697486,1.579739172,0,0,2.805967797,6.533687058,7.325621864,21.51790076,2.93257335,2.145977253,2.193657902,1.528407449,1.598230937,0.852151244,0.624924483,10.17959864,0.250650101,2.451065115,1.087875286,1.408946442,,1,0.023572224,0,0,0.041869508,0.097493017,0.109309945,0.32108135,0.043758665,0.032021398,0.03273287,0.022806273,0.023848151,0.012715454,0.009324869,0.151895824,0.003740099,0.036573795,0.016232832,0.021023725,,18,0,0,0,1,1,27.75,,,,
"Barnstable Town, MA",MA,41.7003208,-70.3002024,0,9837,0,0.0625,2258,1245,171.4409639,0.156,62757,0.328,0.109,,,,,,,,,,,0,0,0,0,16.14,,0.08,0.08,,1.29,15000,4644,13903,1.024776705,213900,91.4,7962,8662,10348,10918,10909,18749,19160,29267,17249,19816,33654,18386,8820,52.4,127750,-0.0347,0.04598878,,,,,,,,,,,,,,,,,,,,,61.55797101,0.305451145,0,0,6.684871435,2.39002805,3.575058439,17.22670874,1.160790089,1.366975222,2.084908836,2.016503039,4.823501636,2.262332866,0.633328658,9.714628331,1.022772324,4.746858345,1.276783544,0.266470313,,1,0.004962008,0,0,0.108594733,0.038825647,0.058076288,0.279845298,0.018856861,0.022206307,0.033869031,0.032757789,0.07835706,0.036751258,0.010288329,0.157812679,0.016614783,0.077112001,0.020741157,0.00432877,,52,0,0,0,0,,,,,,
