MSA,Lat,Long,Region.x,talent_score,connect_score,cost_score,quality_score,finalscore
"Oxnard Thousand Oaks Ventura, CA",34.1975048,-119.1770516,West,20.91508396,42.34260323,58.57621411,89.73629077,48.09
"Palm Bay Melbourne Titusville, FL",28.0344621,-80.5886646,South,71.56066076,58.94458969,45.06171039,72.10024829,71.29
"Panama City, FL",30.1588129,-85.6602058,South,40.45183752,36.40681603,58.40495333,27.31520113,23.1
"Parkersburg Vienna, WV",39.2667418,-81.5615135,South,55.93728798,13.23736892,52.27154623,43.84703142,53.7
"Pensacola Ferry Pass Brent, FL",30.421309,-87.2169149,South,57.28156275,46.18726135,37.14756474,45.20594523,26.16
"Peoria, IL",40.6936488,-89.5889864,Midwest,62.59810509,69.87847593,29.15454407,52.39338021,7.04
"Philadelphia Camden Wilmington, PA NJ DE MD",39.952335,-75.163789,Northeast,45.41304888,38.39611985,35.33791034,25.08249279,73.84
"Phoenix Mesa Scottsdale, AZ",33.4483771,-112.0740373,West,78.9045204,72.45291035,26.76259541,40.27985119,94.23
"Pine Bluff, AR",34.2284312,-92.0031955,South,37.65610979,49.12967106,67.35549642,54.49405053,24.63
"Pittsburgh, PA",40.4406248,-79.9958864,Northeast,50.68259238,7.921992035,50.70881534,55.30934858,62.62
"Pittsfield, MA",42.4500845,-73.2453824,Northeast,62.9602813,24.53507792,46.2299072,15.35258918,56.5
"Pocatello, ID",42.8713032,-112.4455344,West,59.61162601,30.8296331,36.70242926,63.39209004,32.28
"Port St. Lucie, FL",45.5234515,-122.6762071,South,43.89463978,35.05327137,46.28437551,15.96430696,44.01
"Portland South Portland, ME",27.2730492,-80.3582261,Northeast,61.74177567,27.99163506,44.90053224,42.21583723,18.77
"Portland Vancouver Hillsboro, OR WA",43.661471,-70.2553259,West,52.79950292,62.64230417,34.46594341,43.22360996,49.11
"Prescott, AZ",34.5400242,-112.4685025,West,71.55754492,43.34864788,33.01718712,23.96462968,79.44
"Providence Warwick, RI MA",41.8239891,-71.4128343,Northeast,60.76047292,31.56497015,67.50462474,66.99578997,72.82
"Provo Orem, UT",40.2338438,-111.6585337,West,49.58868028,19.86271606,41.7799225,39.88341105,61.09
"Pueblo, CO",38.2544472,-104.6091409,West,44.89732542,47.533407,61.19482113,31.38373415,46.81
"Punta Gorda, FL",26.9297836,-82.0453664,South,47.75741972,45.08296134,39.32608819,61.22366376,49.62
"Racine, WI",42.7261309,-87.7828523,Midwest,21.19410127,45.81970767,55.70116943,37.41696307,47.32
"Raleigh, NC",35.7795897,-78.6381787,South,67.45340136,67.72605523,39.29633953,46.30969861,70.52
"Rapid City, SD",44.0805434,-103.2310149,Midwest,39.32535003,31.38373415,45.48396018,40.01595281,87.6
"Reading, PA",40.3356483,-75.9268747,Northeast,34.08476464,37.274675,50.12040341,32.61944185,47.07
"Redding, CA",40.5865396,-122.3916754,West,49.77506509,31.0161194,71.49691537,75.74969254,21.83
"Reno, NV",39.5296329,-119.8138027,West,62.31294649,54.89951606,52.61377017,64.99163334,44.26
"Richmond, VA",37.5407246,-77.4360481,South,80.46170012,71.75760857,29.61133995,35.20709627,68.74
"Riverside San Bernardino Ontario, CA",33.9533487,-117.3961564,West,59.62056985,60.71567115,27.67167193,84.55012874,38.91
"Roanoke, VA",37.2709704,-79.9414266,South,53.55382073,55.17223276,41.97399509,51.24768847,66.7
"Rochester, MN",44.0234,-92.46295,Midwest,63.57446952,56.14344448,27.75318022,27.08304638,25.14
"Rochester, NY",43.16103,-77.6109219,Northeast,90.6151933,77.87879865,4.514073306,85.92111357,33.81
"Rockford, IL",42.2711311,-89.0939952,Midwest,77.21766969,71.0997464,19.78031389,49.87188616,17.5
"Rocky Mount, NC",35.9382103,-77.7905339,South,64.41339921,78.49051643,30.67130011,53.17022313,27.18
"Rome, GA",34.257038,-85.1646726,South,55.37322952,58.02956582,37.71368354,47.77831778,23.36
"Sacramento  Roseville  Arden Arcade, CA",38.5815719,-121.4943996,West,61.1029692,50.24492609,30.47748638,48.5142619,66.44
"Saginaw, MI",43.4194699,-83.9508068,Midwest,94.49908438,70.47464949,1,71.75760857,19.54
"Salem, OR",44.9428975,-123.0350963,West,65.96474416,45.32884371,49.31031001,34.26970362,64.15
"Salinas, CA",36.6777372,-121.6555013,West,53.1870608,58.17989157,40.37401754,41.19206016,15.2
"Salisbury, MD",38.3606736,-75.5993692,South,48.48118142,39.75046081,40.39819175,59.73318088,23.87
"Salt Lake City, UT",40.7607793,-111.8910474,West,38.74781584,6.256178979,37.01918797,51.75428393,75.37
"San Angelo, TX",31.4637723,-100.4370375,South,42.92932271,19.01401488,40.45159788,43.09838133,48.6
"San Antonio New Braunfels, TX",29.4241219,-98.4936282,South,88.63200918,87.58692663,22.57474898,31.20080144,34.32
"San Diego Carlsbad, CA",32.715738,-117.1610838,West,79.12854925,55.44698576,41.47552938,36.69890269,74.35
"San Francisco Oakland Hayward, CA",37.7749295,-122.4194155,West,40.36058757,36.69890269,43.95815314,45.45166301,88.62
"San Jose Sunnyvale Santa Clara, CA",37.3393857,-121.8949555,West,58.50116122,44.8367123,44.67779942,51.37397827,86.07
"San Luis Obispo Paso Robles Arroyo Grande, CA",35.2827524,-120.6596156,West,75.41378733,72.81635225,41.13089774,34.74280625,53.44
"Santa Cruz Watsonville, CA",36.9741171,-122.0307963,West,45.46961129,50.12041858,40.82913274,49.37656485,83.52
"Santa Fe, NM",35.6869752,-105.937799,West,60.78305691,65.63223522,39.21912236,52.78034588,35.09
"Santa Maria Santa Barbara, CA",34.9530337,-120.4357191,West,64.76651501,28.4271831,58.63335756,61.92055389,64.91
"Santa Rosa, CA",38.440429,-122.7140548,West,48.06283525,23.0597462,42.74173957,45.08296134,20.05
"Savannah, GA",32.0835407,-81.0998342,South,53.13208251,24.81151305,50.45752934,40.41122753,65.93
"Scranton Wilkes Barre Hazleton, PA",41.408969,75.6624122,Northeast,44.00834074,36.55322354,54.38017902,57.7313612,34.07
"Seattle Tacoma Bellevue, WA",47.6062095,-122.3320708,West,44.20629408,37.84010047,64.04482411,75.27949844,86.33
"Sebastian Vero Beach, FL",27.816415,-80.4706078,South,30.68273095,20.26403065,53.45038606,19.86271606,11.38
"Sheboygan, WI",43.7508284,-87.71453,Midwest,79.80353007,82.3522665,55.89464007,67.72605523,55.99
"Sherman Denison, TX",33.6356618,-96.6088805,South,66.43434274,55.86315327,42.14006875,28.4271831,6.79
"Shreveport Bossier City, LA",32.5251516,-93.7501789,South,48.18750141,65.85147055,50.16119099,40.14809621,53.95
"Sioux City, IA",42.4999942,96.4003069,Midwest,51.16413833,44.21915308,55.26354329,48.02339794,63.38
"Sioux Falls, SD",43.5445959,-96.7311034,Midwest,42.38793474,35.81353978,63.59140275,13.23736892,38.15
"South Bend Mishawaka, IN",41.6763545,86.2519898,Midwest,55.4397577,64.17368605,35.55049273,48.63716038,68.23
"Spartanburg, SC",34.9495672,-81.9320482,South,49.56515063,1,20.49221482,56.56843061,32.79
"Spokane Spokane Valley, WA",47.6587802,-117.4260466,West,30.77719004,39.88341105,46.85558953,60.54893348,46.3
"Springfield, IL",39.7817213,-89.6501481,Midwest,76.0495966,73.1914223,26.712515,48.3914426,62.11
"Springfield, MA",39.7817213,-89.6501481,Northeast,54.95773949,48.3914426,30.56888932,43.59817952,85.82
"Springfield, MO",39.7817213,-89.6501481,Midwest,57.71188149,38.94358955,42.90652067,4.106814838,84.29
"Springfield, OH",39.7817213,-89.6501481,Midwest,57.29403105,54.22601383,36.96783058,25.86534265,33.3
"St. Cloud, MN",45.5579451,-94.1632404,Midwest,44.99629803,48.5142619,77.41516979,58.17989157,6.02
"St. George, UT",37.0965278,-113.5684164,West,30.40090523,41.83401078,49.21546931,73.57907496,42.99
"St. Joseph, MO",39.7674578,94.846681,Midwest,47.87619084,45.57440933,53.20449505,31.56497015,42.73
"St. Louis, MO",38.6270025,90.1994042,Midwest,70.83970977,47.41099995,46.71204122,66.29917885,81.48
"State College, PA",40.7933949,-77.8600012,Northeast,53.07916948,60.05602109,47.2130493,60.21914086,89.64
"Stockton Lodi, CA",37.9577016,-121.2907796,West,57.25137909,33.94906127,46.2323465,46.55448857,14.95
"Sumter, SC",33.9204354,-80.3414693,South,18.41893533,26.60785249,56.20956327,50.87015069,51.15
"Syracuse, NY",43.0481221,-76.1474244,Northeast,44.82399374,19.44651217,50.81084914,55.44698576,77.15
"Tallahassee, FL",30.4382559,-84.2807329,South,70.30627933,38.11923057,21.72897578,45.57440933,88.88
"Tampa St. Petersburg Clearwater, FL",27.950575,-82.4571776,South,68.44680415,51.50050238,38.52796277,67.23525312,86.84
"Terre Haute, IN",39.4667034,-87.4139092,Midwest,49.38583484,48.14601678,42.93571048,31.0161194,24.89
"Toledo, OH",41.6639383,-83.555212,Midwest,61.26075276,60.88368157,31.73304406,41.06275973,68.48
"Topeka, KS",39.0558235,-95.6890185,Midwest,78.68706402,48.88321981,37.87813291,29.66941956,40.44
"Trenton, NJ",40.2170534,-74.7429384,Northeast,70.03354005,45.94227196,55.61953596,57.43628958,47.58
"Tucson, AZ",32.2217429,-110.926479,West,34.47824825,31.92255172,39.25706462,27.54392676,43.24
"Tulsa, OK",36.1539816,-95.992775,South,69.92636726,67.23525312,30.72642701,38.11923057,80.72
"Tuscaloosa, AL",33.2098407,-87.5691735,South,42.31093249,35.20709627,43.6884873,42.46912734,76.64
"Tyler, TX",32.3512601,-95.3010624,South,47.96990249,27.76936139,61.83612003,39.75046081,30.24
"Utica Rome, NY",43.100903,-75.232664,Northeast,58.05045182,44.09525779,40.08285255,42.34260323,26.67
"Valdosta, GA",30.8327022,-83.2784851,South,74.86940547,72.10024829,23.42717701,42.72148009,52.17
"Vallejo Fairfield, CA",38.1040864,-122.2566367,West,42.01558058,23.66994517,53.69456958,54.0926448,27.44
"Victoria, TX",28.8052674,-97.0035982,South,47.73839466,32.61944185,53.65163753,66.07374422,21.07
"Vineland Bridgeton, NJ",39.4863773,-75.0259637,Northeast,58.52608218,49.50019372,42.02368758,62.64230417,5.26
"Virginia Beach Norfolk Newport News, VA",36.8529263,75.977985,South,26.81815657,47.90083365,62.22781347,36.55322354,48.34
"Visalia Porterville, CA",36.3302284,-119.2920585,West,44.61946191,55.58515694,63.25695719,26.36449012,50.89
"Waco, TX",31.549333,-97.1466695,South,51.28115557,47.04389951,44.48921366,68.76061282,90.41
"Warner Robins, GA",32.608611,-83.638056,South,82.57969352,66.52790448,4.225573653,70.47464949,15.97
"Washington, DC",38.9071923,77.0368707,South,49.7741661,33.29417213,62.93544818,69.03159255,77.91
"Waterloo Cedar Falls, IA",42.492786,-92.3425775,Midwest,60.89134917,68.76061282,37.52824071,30.06445735,12.4
"Wausau, WI",44.9591352,-89.6301221,Midwest,74.57552017,57.14420292,50.84416742,72.81635225,8.32
"Wheeling, OH",40.0639616,80.7209149,Midwest,45.77804225,40.67288248,67.76407062,30.25876154,47.83
"Wichita Falls, TX",33.9137085,-98.4933873,South,49.27843584,48.76014427,50.55923061,14.69929103,73.07
"Wichita, KS",37.688889,-97.336111,Midwest,59.74424393,26.36449012,45.54047091,35.05327137,21.58
"Williamsport, PA",41.2411897,-77.0010786,Northeast,79.82777312,61.39571048,20.60063314,78.49051643,57.52
"Wilmington, NC",34.2257255,-77.9447102,South,36.21019365,34.42842572,69.24323508,33.45967124,54.46
"Winchester, VA",39.1856597,78.1633341,South,44.57968019,30.06445735,56.35970794,29.26530936,8.06
"Winston Salem, NC",36.1039642,-80.254435,South,75.29071835,74.39659344,48.88581297,41.96154882,28.71
"Worcester, MA",42.2625932,71.8022934,Northeast,19.76004118,30.25876154,62.93877088,34.58611792,50.38
"Yakima, WA",46.6020711,-120.5058987,West,66.2762431,68.49481427,36.46208034,36.40681603,43.5
"York Hanover, PA",39.9625984,-76.727745,Northeast,71.89896984,60.54893348,20.6428966,27.76936139,5.51
"Youngstown Warren Boardman, OH",41.0997803,80.6495194,Midwest,76.96373824,55.72387504,23.98433546,83.378832,13.16
"Yuba City, CA",39.1404477,-121.6169108,West,42.83453116,39.07921439,78.2849317,54.62873983,16.22
"Yuma, AZ",32.6926512,-114.6276916,West,57.3376444,56.28448545,59.85573848,60.05602109,44.52
